iter	RMSE
0	1.355611246
1	1.301034372
2	1.24802169
3	1.196877173
4	1.147748238
5	1.102744229
6	1.060844028
7	1.02148288
8	0.9842336484
9	0.9458134703
10	0.9106952284
11	0.8769972835
12	0.8462725831
13	0.814973022
14	0.786673793
15	0.761370356
16	0.7361040128
17	0.7128122901
18	0.689524457
19	0.6681149586
20	0.6468771563
21	0.6273716968
22	0.6088339261
23	0.5936235668
24	0.5769472117
25	0.5614362599
26	0.5469766545
27	0.5327493223
28	0.5197426646
29	0.5080369035
30	0.4963722758
31	0.4860210751
32	0.4757024109
33	0.4662696038
34	0.4569718291
35	0.4490085977
36	0.4409989763
37	0.4337212469
38	0.4270572449
39	0.4205189686
40	0.4145180088
41	0.4090341144
42	0.4039175003
43	0.3989146999
44	0.3942835763
45	0.3897309228
46	0.3858184301
47	0.3817188404
48	0.3781620203
49	0.3744643471
50	0.371219471
51	0.368071327
52	0.3650433429
53	0.3622391462
54	0.3594185262
55	0.3569370387
56	0.3544109774
57	0.3522053351
58	0.3499205206
59	0.3480181036
60	0.3462743747
61	0.3445538926
62	0.3427975582
63	0.3413069413
64	0.3396393749
65	0.3382323947
66	0.3368069228
67	0.3356105913
68	0.3342934027
69	0.3330349887
70	0.3318494425
71	0.3305289775
72	0.3295145592
73	0.3283608113
74	0.3272142911
75	0.3261756721
76	0.3251738168
77	0.3242626809
78	0.3231301451
79	0.3221187261
80	0.3211119749
81	0.3202486857
82	0.3195425928
83	0.3185500646
84	0.3179141552
85	0.3170977154
86	0.3165478617
87	0.3158151633
88	0.3150902892
89	0.3142082487
90	0.3134581715
91	0.3129211923
92	0.3124358612
93	0.3119290323
94	0.3115473192
95	0.3109957256
96	0.3105156167
97	0.3101242844
98	0.3097297519
99	0.3094569729
100	0.3090241989
101	0.3083840371
102	0.308007013
103	0.3073426177
104	0.3068691429
105	0.306562289
106	0.3061828322
107	0.3058431453
108	0.3054257637
109	0.3049533513
110	0.3043091858
111	0.3038868299
112	0.3035350976
113	0.3028275632
114	0.3025286358
115	0.3022024851
116	0.301858948
117	0.301628238
118	0.3013129806
119	0.3010592546
120	0.3007573637
121	0.3004799174
122	0.3002635555
123	0.2998502001
124	0.2991179049
125	0.298845006
126	0.2986587358
127	0.2982792754
128	0.2978471935
129	0.2975699666
130	0.2973831647
131	0.2970598494
132	0.2965042285
133	0.2962481667
134	0.2960679146
135	0.2956405379
136	0.2954004161
137	0.2949701761
138	0.294767972
139	0.2944474932
140	0.2941701139
141	0.2939651014
142	0.2936673001
143	0.2934611253
144	0.2930587409
145	0.2927462951
146	0.2924192244
147	0.2921581605
148	0.2920038872
149	0.2917476842
150	0.2914740057
151	0.2912104193
152	0.2909958908
153	0.290586989
154	0.2903325241
155	0.2900350505
156	0.2896460689
157	0.2894423615
158	0.2891055528
159	0.2889577833
160	0.2887164114
161	0.2884385718
162	0.2881928463
163	0.2880368207
164	0.2877015088
165	0.2874497159
166	0.2872645311
167	0.2870364434
168	0.2868199557
169	0.2866258354
170	0.2864104064
171	0.2862275078
172	0.285966162
173	0.2858273252
174	0.2855141572
175	0.2852686985
176	0.2850683554
177	0.2848322104
178	0.2846094965
179	0.2843588447
180	0.2842007898
181	0.28404355
182	0.2838725013
183	0.2836934961
184	0.2835039157
185	0.2833959107
186	0.2832639356
187	0.282982907
188	0.2828231278
189	0.2824315959
190	0.282238579
191	0.2819510899
192	0.2817537291
193	0.2816548244
194	0.2814944767
195	0.2812973072
196	0.2811456757
197	0.2809932878
198	0.2808019644
199	0.2805135349
