iter	Passed	Remaining
0	0	178
1	1	171
2	2	170
3	5	252
4	5	232
5	7	248
6	8	229
7	8	214
8	9	208
9	10	201
10	11	192
11	11	186
12	12	180
13	13	175
14	13	170
15	14	166
16	15	163
17	15	161
18	16	160
19	17	158
20	18	157
21	19	156
22	22	172
23	23	169
24	23	166
25	24	165
26	25	164
27	26	161
28	26	159
29	28	162
30	29	160
31	30	158
32	31	157
33	31	155
34	32	154
35	33	153
36	34	152
37	35	150
38	37	154
39	41	165
40	42	163
41	42	161
42	43	158
43	44	156
44	44	154
45	45	153
46	46	152
47	47	149
48	47	147
49	48	146
50	49	144
51	50	143
52	54	151
53	56	152
54	58	152
55	59	151
56	59	150
57	60	148
58	61	147
59	62	145
60	62	143
61	63	141
62	64	139
63	65	138
64	66	137
65	67	136
66	71	141
67	72	140
68	73	138
69	74	138
70	75	137
71	76	136
72	77	134
73	78	132
74	78	131
75	79	129
76	79	127
77	80	126
78	81	124
79	81	122
80	82	121
81	83	119
82	85	121
83	86	120
84	90	122
85	91	121
86	93	120
87	94	120
88	95	119
89	96	117
90	96	116
91	97	114
92	98	113
93	98	111
94	99	110
95	100	108
96	102	108
97	104	108
98	106	108
99	107	107
100	108	106
101	110	106
102	111	105
103	112	103
104	113	102
105	114	101
106	116	101
107	117	100
108	118	99
109	119	97
110	120	96
111	121	95
112	122	94
113	122	92
114	123	91
115	124	89
116	124	88
117	125	87
118	126	85
119	126	84
120	127	83
121	128	82
122	128	80
123	129	79
124	132	79
125	133	78
126	134	77
127	135	76
128	136	75
129	137	73
130	138	72
131	138	71
132	139	70
133	140	69
134	141	68
135	142	66
136	143	65
137	144	64
138	144	63
139	145	62
140	148	61
141	149	61
142	151	60
143	152	59
144	152	57
145	153	56
146	154	55
147	155	54
148	155	53
149	156	52
150	156	50
151	157	49
152	158	48
153	159	47
154	160	46
155	160	45
156	161	44
157	164	43
158	165	42
159	166	41
160	167	40
161	168	39
162	168	38
163	169	37
164	170	36
165	170	35
166	171	33
167	172	32
168	172	31
169	173	30
170	174	29
171	174	28
172	175	27
173	176	26
174	177	25
175	180	24
176	183	23
177	183	22
178	184	21
179	185	20
180	186	19
181	187	18
182	188	17
183	189	16
184	189	15
185	190	14
186	191	13
187	192	12
188	192	11
189	193	10
190	197	9
191	198	8
192	199	7
193	200	6
194	201	5
195	201	4
196	202	3
197	203	2
198	203	1
199	204	0
